Summary or Document Name,Topic,Specific Topic,URL
Battle of Astronomy Tower,Lore,"Wiki, Event",https://harrypotter.fandom.com/wiki/Battle_of_the_Astronomy_Tower
Return of Lord Voldemort,Lore,"Wiki, Event",https://harrypotter.fandom.com/wiki/Return_of_Lord_Voldemort
1994-1995 Triwizard Tournament,Lore,"Wiki, Event",https://harrypotter.fandom.com/wiki/1994%E2%80%931995_Triwizard_Tournament
Battle of the Department of Mysteries,Lore,"Wiki, Event",https://harrypotter.fandom.com/wiki/Battle_of_the_Department_of_Mysteries
Slytherin's Locket,Lore,"Wiki, Item",https://harrypotter.fandom.com/wiki/Slytherin%27s_Locket
T. M. Riddle's Diary,Lore,"Wiki, Item",https://harrypotter.fandom.com/wiki/T._M._Riddle%27s_Diary
Polyjuice Potion,Lore,"Wiki, Item",https://harrypotter.fandom.com/wiki/Polyjuice_Potion
The Burrow,Lore,"Wiki, Place",https://harrypotter.fandom.com/wiki/The_Burrow
Draco Malfoy,Lore,"Wiki, Character",https://harrypotter.fandom.com/wiki/Draco_Malfoy
Severus Snape,Lore,"Wiki, Character",https://harrypotter.fandom.com/wiki/Severus_Snape
Minerva McGonagall,Lore,"Wiki, Character",https://harrypotter.fandom.com/wiki/Minerva_McGonagall
Dumbledore's Army,Lore,"Wiki, Character",https://harrypotter.fandom.com/wiki/Dumbledore%27s_Army
Harry Potter and the Prisoner of Azkaban,Lore,"Wiki, Book Plot",https://harrypotter.fandom.com/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban
Harry Potter and the Half-Blood Prince,Lore,"Wiki, Book Plot",https://harrypotter.fandom.com/wiki/Harry_Potter_and_the_Half-Blood_Prince
Harry Potter and the Chamber of Secrets,Lore,"Wiki, Book Plot",https://harrypotter.fandom.com/wiki/Harry_Potter_and_the_Chamber_of_Secrets
Harry Potter and the Prisoner of Azkaban Movie Review,Review,Movie Review,https://www.rogerebert.com/reviews/harry-potter-and-the-prisoner-of-azkaban-2004
Harry Potter and the Deathly Hallows Part 2 Movie Review,Review,Movie Review,https://www.rogerebert.com/reviews/harry-potter-and-the-deathly-hallows-part-2-2011
Harry Potter and the Sorcerer’s Stone – “Harry Potter” Series,Review,Book Review,https://www.pluggedin.com/book-reviews/harry-potter-and-the-sorcerers-stone/
Harry Potter and the Goblet of Fire — “Harry Potter” Series,Review,Book Review,https://www.pluggedin.com/book-reviews/harry-potter-and-the-goblet-of-fire/
Harry Potter and the Order of the Phoenix Book Review,Review,Book Review,https://www.dickwizardry.com/articles/harry-potter-and-the-order-of-the-phoenix-book-review